"Part","Measurement"
1,1.6245
1,1.6225
1,1.6278
2,1.7277
2,1.7254
2,1.7307
3,1.6847
3,1.6828
3,1.6874
4,1.8249
4,1.8226
4,1.8273
5,1.7114
5,1.7054
5,1.716
6,1.8072
6,1.8006
6,1.816
7,1.7681
7,1.759
7,1.7677
8,1.865
8,1.8561
8,1.8737
9,1.667
9,1.6579
9,1.67
10,1.8546
10,1.852
10,1.8583
11,1.7948
11,1.7925
11,1.7976
12,1.9814
12,1.9799
12,1.9846
13,1.9046
13,1.9022
13,1.9081
14,2.0546
14,2.052
14,2.0583
15,1.9654
15,1.9594
15,1.97
16,2.157
16,2.1479
16,2.16
17,1.8684
17,1.8624
17,1.873
18,2.0548
18,2.0526
18,2.0575
19,1.8109
19,1.8084
19,1.8135
20,1.8896
20,1.8812
20,1.8901
21,1.884
21,1.8749
21,1.887
22,1.9694
22,1.9634
22,1.974
23,1.7645
23,1.7629
23,1.7675
24,1.913
24,1.9039
24,1.9159
25,1.9415
25,1.9434
25,1.95
26,1.8774
26,1.8714
26,1.882
27,1.8737
27,1.8713
27,1.8769
28,1.9076
28,1.8992
28,1.9081
29,1.955
29,1.9461
29,1.9637
30,1.9046
30,1.9022
30,1.9081
